Country;year;Proporcion de residuos plasticos mal gestionados a nivel mundial;Probabilidad de que el plastico se emita al oceano
Albania;2019;0.113046491;1.56
Algeria;2019;1.237.707.957;0.09
Angola;2019;0.383571002;0.09
Antigua and Barbuda;2019;0.001014995;3.08
Argentina;2019;0.754055528;0.26
Australia;2019;0.008524663;0.18
Bahamas;2019;0.003580812;2.04
Bahrain;2019;0.001688421;0.0
Bangladesh;2019;1.654.409.563;2.32
Barbados;2019;0.001411604;4.35
Belgium;2019;0.003697366;0.71
Belize;2019;0.009746866;3.54
Benin;2019;0.215844283;0.14
Bosnia and Herzegovina;2019;0.089926619;0.95
Brazil;2019;5.336.737.155;0.24
Brunei;2019;0.001120218;10.22
Bulgaria;2019;0.005045837;0.13
Burkina Faso;2019;0.513645775;0.0
Cambodia;2019;0.400647849;0.63
Cameroon;2019;0.936965084;0.45
Canada;2019;0.038182916;0.55
Cape Verde;2019;0.005775921;0.0
Chile;2019;0.049805985;2.58
China;2019;1.986.638.327;0.19
Colombia;2019;0.138333951;0.62
Comoros;2019;0.095765674;0.0
Congo;2019;0.105693847;0.08
Costa Rica;2019;0.009309787;6.25
Cote d'Ivoire;2019;0.47206821;0.0
Croatia;2019;0.028400436;0.0
Cyprus;2019;0.001354946;0.62
Democratic Republic of Congo;2019;2.217.335.209;0.01
Denmark;2019;0.000631337;2.33
Djibouti;2019;0.016655956;0.22
Dominica;2019;0.001751554;7.73
Dominican Republic;2019;0.314078645;2.59
East Timor;2019;0.027914792;3.8
Ecuador;2019;0.176121877;0.57
Egypt;2019;2.323.820.655;0.04
El Salvador;2019;0.035116886;2.71
Equatorial Guinea;2019;0.015221688;2.97
Eritrea;2019;0.136122654;0.13
Estonia;2019;0.000971287;0.76
Fiji;2019;0.006245376;7.54
Finland;2019;0.004242906;0.0
France;2019;0.044970594;0.56
French Guiana;2019;0.00020397;2.18
Gabon;2019;0.009698302;0.7
Gambia;2019;0.056812203;0.67
Georgia;2019;0.000496975;1.23
Germany;2019;0.082034911;0.26
Ghana;2019;0.84178542;0.28
Greece;2019;0.007294366;0.91
Grenada;2019;0.002196728;5.99
Guadeloupe;2019;0.000262248;4.35
Guatemala;2019;0.503455354;1.74
Guinea;2019;0.239579303;0.0
Guinea-Bissau;2019;0.033128985;2.36
Guyana;2019;0.04462255;0.89
Haiti;2019;0.385225428;2.95
Honduras;2019;0.236338442;1.48
Hong Kong;2019;0.009358352;4.51
Iceland;2019;0.000244441;0.0
India;2019;2.103.500.357;0.45
Indonesia;2019;1.334.279.799;4.45
Iran;2019;0.802874039;0.07
Iraq;2019;0.796084742;0.01
Ireland;2019;0.004330322;2.97
Israel;2019;0.00981;0.29
Italy;2019;0.062814758;0.88
Jamaica;2019;0.080411243;5.07
Japan;2019;0.057765683;3.58
