Entity,Code,Year,High income,East Asia and Pacific,South Asia,Latin America and the Carribean,Sub-Saharan Africa,North Africa and Middle East
Bottle lids,,2021,,,,,2.8,
Cans (drink),,2021,8,3.4,4.1,4.6,7.4,6.8
Cans (food),,2021,,,,,,3.1
Clothing,,2021,,2.8,3.7,2.5,3.6,
Fishing net,,2021,,2.7,3.8,,,
Fishing related,,2021,31.7,7.2,12.2,10.3,3.7,14.1
Fishing weights,,2021,9.6,,,4.6,,3.4
Food containers,,2021,3.9,4.2,,8.8,4.2,17.1
Glass bottles,,2021,7.2,5.2,3.7,4.8,10.4,3.7
Industrial packaging,,2021,,,3,,,
Plastic bags,,2021,4.9,14,7.1,20.1,9,12.3
Plastic bottles,,2021,6,11.1,12.9,10.4,19.2,9
Plastic lids,,2021,2.1,,,4.5,5.6,3.5
Rope & nets (fabric),,2021,,,,,4.2,
Synthetic rope,,2021,2.2,2.8,,,,
Wood,,2021,,,4.2,,,
Wrappers,,2021,2.6,18.2,6.4,4.4,,3.5
