país,Índice de Mal Manejo de Plásticos (MWI),Nivel de Mal Manejo de Plásticos,Consumo Total de Plástico (toneladas),"Residuos Mal Manejados (estimados 2023, toneladas)",Consumo Per Cápita de Plástico (kg/año),Residuos Exportados (toneladas),Residuos Importados (toneladas),Microplásticos Liberados en Aguas (toneladas),Contaminación por Aditivos Químicos (toneladas)
India,98.55,Very High,7408124,7300752,5.3,59260.0,98860.0,330764,44535.0
China,17.41,Low,37606230,6546264,26.7,496480.0,1273710.0,517699,39932.0
United States,8.71,Very Low,22867246,1992144,69.0,380350.0,264760.0,254667,12152.0
Indonesia,98.42,Very High,3366941,3313742,12.4,26940.0,79080.0,80414,20214.0
Pakistan,91.53,Very High,790123,723213,3.5,6320.0,4790.0,58487,4412.0
Nigeria,99.44,Very High,935848,930624,4.5,7490.0,960.0,27685,5677.0
Brazil,97.97,Very High,4911580,4811936,23.0,39290.0,1250.0,53708,29353.0
Bangladesh,98.54,Very High,579920,571453,3.5,,2860.0,47830,3486.0
Russia,97.82,Very High,3164038,3094976,22.0,25310.0,12180.0,47987,18879.0
Ethiopia,96.41,Very High,150254,144867,1.3,5260.0,,13381,884.0
Mexico,67.24,High,4049874,2723104,32.1,200880.0,26090.0,36238,16611.0
Japan,10.87,Very Low,3806805,413770,30.2,675660.0,2540.0,172872,2524.0
Egypt,89.37,Very High,834699,745985,7.8,70.0,950.0,31451,4551.0
Philippines,98.37,Very High,938218,922969,8.4,78540.0,7950.0,31807,5630.0
DR Congo,97.75,Very High,1144387,1118640,12.3,30.0,,10456,6824.0
Vietnam,32.01,Low,2951900,944959,30.5,131330.0,713980.0,27130,5764.0
Iran,84.41,Very High,1305605,1102093,15.0,,,19684,6723.0
Turkey,48.03,Medium,938490,450803,11.2,9580.0,429770.0,19827,2750.0
Germany,8.34,Very Low,3568313,297559,42.9,428860.0,294020.0,74309,1815.0
Thailand,98.49,Very High,3355763,3304945,46.9,132630.0,179080.0,26463,20160.0
United Kingdom,12.31,Very Low,2085254,256610,31.1,149230.0,45720.0,59546,1565.0
Tanzania,99.61,Very High,126931,126432,2.1,3030.0,200.0,7298,771.0
France,5.08,Very Low,2680095,136239,39.7,314320.0,101040.0,60757,831.0
South Africa,81.81,Very High,1013303,828949,17.2,8110.0,5600.0,12765,5057.0
Italy,22.03,Low,3335851,734733,56.1,156940.0,141810.0,55704,4482.0
Kenya,98.9,Very High,270850,267861,5.2,2170.0,50.0,7512,1634.0
Myanmar,99.18,Very High,498431,494335,9.3,6120.0,30490.0,14348,3015.0
Colombia,62.42,High,769331,480247,15.1,6150.0,100.0,12425,2930.0
Sudan,80.53,Very High,359574,289580,8.1,,,6722,1766.0
Uganda,99.71,Very High,59786,59613,1.3,510.0,30.0,4758,364.0
Spain,16.92,Low,1580823,267425,33.4,57160.0,141750.0,42735,1631.0
Algeria,12.82,Very Low,2092007,268285,48.1,,,13747,1637.0
Iraq,98.35,Very High,695106,683664,16.3,,480.0,8950,4170.0
Argentina,40.77,Medium,1236184,503987,27.2,9890.0,,23641,3074.0
Afghanistan,98.06,Very High,447766,439097,11.5,,850.0,9101,2678.0
Yemen,97.8,Very High,384783,376318,11.9,,,3581,2296.0
Canada,2.57,Very Low,2106603,54061,55.4,386440.0,426440.0,29422,330.0
Poland,13.49,Very Low,1315,177365,34.7,130100.0,214850.0,35388,1082.0
Morocco,74.41,High,548160,407884,14.9,4390.0,2530.0,5980,2488.0
Angola,94.37,Very High,568842,536821,17.0,4550.0,210.0,8184,3275.0
Ukraine,59.39,Medium,1066942,633696,24.2,8540.0,37140.0,32866,3866.0
Uzbekistan,98.23,Very High,100000,98225,2.9,800.0,14400.0,8212,599.0
Malaysia,76.4,High,1371397,1047735,41.3,25650.0,589970.0,11789,6391.0
Mozambique,99.85,Very High,105235,105074,3.4,860.0,640.0,3671,641.0
Ghana,87.98,Very High,141531,124522,4.4,1130.0,910.0,4026,760.0
Peru,94.49,Very High,597668,564722,17.9,4780.0,5230.0,8251,3445.0
Saudi Arabia,70.23,High,2105362,1478568,58.5,43530.0,30.0,26737,9019.0
Madagascar,99.81,Very High,299816,299232,10.6,2400.0,,3349,1825.0
Ivory Coast,97.95,Very High,473230,463511,17.7,3790.0,3210.0,7102,2827.0
Nepal,93.84,Very High,267823,251325,9.1,2140.0,,8995,1533.0
Cameroon,87.46,Very High,107930,94400,4.1,,30.0,7425,576.0
Venezuela,53.21,Medium,1200487,638790,42.1,,,8029,3897.0
Niger,98.24,Very High,37313,36656,1.5,,,1304,224.0
Australia,9.29,Very Low,1160779,107851,45.2,165690.0,17020.0,33117,658.0
Syria,94.59,Very High,315000,297944,15.2,,,2679,1817.0
Mali,97.11,Very High,38747,37626,1.8,2740.0,60.0,2133,230.0
Burkina Faso,94.05,Very High,231773,217974,10.8,1850.0,170.0,4140,1330.0
